"case","n","p","k","rho","seed","prior","proposal_type","mh_step_b","true_sigmaSq","sse_total","sse_signal","phi_mean","phi_median","phi_q90","phi_q99","phi_gt_10","phi_gt_100","a_mean","a_median","a_q90","b_mean","b_median","b_q90","accept_a","accept_b","accept_phi"
"mixed_p200_k40",50,200,40,0.4,2,"hs_center","adaptive",0.1,117.15082703116,349.861443513366,249.206864644237,18.4785942012006,15.7715790396573,41.3902355843597,68.6708896527819,0.624,0.003,0.151905243305867,0.150389084667208,0.170666109399358,1.57921416109859,1.62635642354358,2.20371306197351,0.569,0.569,0.569
"mixed_p200_k40",50,200,40,0.4,1,"hs_center","bi_adaptive",0.2,112.352724794109,197.011571617004,166.673431508093,1.622170485843,1.0224592996764,3.45814014167899,7.45801361437533,0,0,0.481830974219629,0.464447914668313,0.676264615238972,1.05550972563166,0.979514619829312,1.58852201474981,0.4445,0.5155,0.4445
"mixed_p200_k40",50,200,40,0.4,2,"hs_center","bi_adaptive",0.2,117.15082703116,338.763385278516,269.48172160468,4.07110626070982,2.80734985127461,9.25562214019677,19.121118765008,0.084,0,0.235828776558617,0.234775422255579,0.298795636614992,0.997883438238196,0.950205851105642,1.39692874082927,0.474,0.6005,0.474
"mixed_p200_k40",50,200,40,0.4,1,"normal_gamma_center","adaptive",0.1,112.352724794109,210.531352383227,174.567486115588,40.4115557267254,5.57714128916945,64.1615122160476,636.889174363004,0.397,0.081,0.778672433184665,0.774434683731902,0.980729645329486,6.19012250557886,2.8910101459507,14.2205574130352,0.5095,0.5095,0.5095
"mixed_p200_k40",50,200,40,0.4,2,"normal_gamma_center","adaptive",0.1,117.15082703116,311.765702797954,259.693822884906,284.171717565194,35.6036087420389,964.277066546293,1221.93857912117,0.602,0.407,0.524658174991301,0.5219524007252,0.548512159874881,13.2139129371832,7.7131364073977,32.7021503616429,0.417,0.417,0.417
"mixed_p200_k40",50,200,40,0.4,1,"normal_gamma_center","bi_adaptive",0.2,112.352724794109,219.875329998274,180.119457354607,8.10501906367569,4.10181006170627,21.1304918292528,38.9075636621574,0.249,0,1.73445242380544,1.69689410660985,2.41723917195471,5.16021819821208,4.75747727630151,7.931725271326,0.433,0.57,0.433
"mixed_p200_k40",50,200,40,0.4,2,"normal_gamma_center","bi_adaptive",0.2,117.15082703116,326.773837077551,276.22857193608,6.7472399553048,3.50993982053124,16.493948623673,56.2824280739775,0.179,0,0.433057114134208,0.422190224022119,0.505350577875892,2.37252783498626,1.91557091985417,4.57328674937964,0.3985,0.604,0.3985
"mixed_p200_k40",50,200,40,0.4,1,"ridge_center","adaptive",0.1,112.352724794109,217.128742250565,177.013372341181,180.342583120426,2.46541132637437,368.154269153566,3322.12033824967,0.314,0.144,1.12744016045699,1.08838536367684,1.55445183029127,6.22234912363501,2.1361436336643,22.1816985226762,0.4915,0.4915,0.4915
"mixed_p200_k40",50,200,40,0.4,2,"ridge_center","adaptive",0.1,117.15082703116,321.587505106843,237.092060145993,5.15670509559866,1.44761064905813,9.14156407307883,64.3867562848379,0.093,0.004,5.90764890345722,5.15504866573614,10.4672182557858,4.72976593793173,4.07311097290982,7.92731026946761,0.4745,0.4745,0.4745
"mixed_p200_k40",50,200,40,0.4,1,"ridge_center","bi_adaptive",0.2,112.352724794109,223.393556750126,176.395729439113,3.2199636456043,1.80721458978137,7.22815955023851,30.9828322674971,0.051,0,6.35709454679906,5.17440111044789,12.0368474374963,6.10374806054601,4.72908339421863,11.8796405058545,0.5355,0.5185,0.5355
"mixed_p200_k40",50,200,40,0.4,2,"ridge_center","bi_adaptive",0.2,117.15082703116,313.140084792089,249.927755907104,2.00809839368163,1.42170122218561,4.32437768869072,7.79209155798015,0.003,0,5.08549788128681,3.57640170038887,10.7252635601345,4.18892221631005,3.62903352363564,6.37185738593639,0.4605,0.528,0.4605
"dense_p100_k50",50,100,50,0.8,1,"hs_center","adaptive",0.1,61.5088374697088,424.38378584795,400.820615989301,2.10983975027658,1.25956671953622,3.83598460987264,13.0813105130121,0.03,0,0.585053554606507,0.478538979640489,1.05167805549446,1.14280545440373,1.1311132105013,1.54603026920976,0.555,0.555,0.555
"dense_p100_k50",50,100,50,0.8,2,"hs_center","adaptive",0.1,129.773465834533,617.343553003672,288.055378629423,7.87506537981493,4.90825285475269,17.2209196770516,38.4074926900854,0.232,0,1.2440787993244,1.1151878797903,1.94340126585986,1.25092445025413,1.12047467186446,1.91881407458648,0.522,0.522,0.522
